"SubscriptionId","ResourceGroupName","DataFactoryName","ArtifactCategory","ArtifactName","ArtifactType","RelatedArtifacts","PropertiesJson"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory1","DataFactory","adf-inventory1","Factory","",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory1","LinkedService","AzureDataLakeStorage1","AzureBlobFS","IR=AutoResolveIntegrationRuntime",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory1","Pipeline","pipeline1","Pipeline","",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory1","Activity","Wait1","Wait","Pipeline=pipeline1",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory1","Pipeline","pipeline2","Pipeline","",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory1","Activity","Wait1","Wait","Pipeline=pipeline2",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory1","Activity","Fail1","Fail","Pipeline=pipeline2",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","DataFactory","adf-inventory2","Factory","",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Pipeline","pipeline1","Pipeline","",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","Wait2-1","Wait","Pipeline=pipeline1",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Pipeline","pipeline2","Pipeline","",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","Set variable1","SetVariable","Pipeline=pipeline2",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","Wait1","Wait","Pipeline=pipeline2",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","Wait2","Wait","Pipeline=pipeline2",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","Wait3","Wait","Pipeline=pipeline2",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","Wait4","Wait","Pipeline=pipeline2",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Pipeline","pipeline3","Pipeline","",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","Wait1","Wait","Pipeline=pipeline3",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","Wait2","Wait","Pipeline=pipeline3",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","Wait3","Wait","Pipeline=pipeline3",""
