"SubscriptionId","ResourceGroupName","DataFactoryName","SourceType","SourceNodeId","SourceName","RelationshipType","TargetType","TargetNodeId","TargetName","Notes"
"84535DB5-5178-4BB1-A8A8-60BED382263A","RG-ADF-INVENTORY","ADF-INVENTORY1","LINKEDSERVICE","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY1|LINKEDSERVICE|AZUREDATALAKESTORAGE1","AzureDataLakeStorage1","RUNS_ON","INTEGRATIONRUNTIME","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY1|INTEGRATIONRUNTIME|AUTORESOLVEINTEGRATIONRUNTIME","AutoResolveIntegrationRuntime",""
"84535DB5-5178-4BB1-A8A8-60BED382263A","RG-ADF-INVENTORY","ADF-INVENTORY1","PIPELINE","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY1|PIPELINE|PIPELINE1","pipeline1","CONTAINS","ACTIVITY","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY1|ACTIVITY|PIPELINE1::WAIT1","Wait1","ActivityType=Wait"
"84535DB5-5178-4BB1-A8A8-60BED382263A","RG-ADF-INVENTORY","ADF-INVENTORY1","PIPELINE","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY1|PIPELINE|PIPELINE2","pipeline2","CONTAINS","ACTIVITY","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY1|ACTIVITY|PIPELINE2::WAIT1","Wait1","ActivityType=Wait"
"84535DB5-5178-4BB1-A8A8-60BED382263A","RG-ADF-INVENTORY","ADF-INVENTORY1","PIPELINE","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY1|PIPELINE|PIPELINE2","pipeline2","CONTAINS","ACTIVITY","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY1|ACTIVITY|PIPELINE2::FAIL1","Fail1","ActivityType=Fail"
"84535DB5-5178-4BB1-A8A8-60BED382263A","RG-ADF-INVENTORY","ADF-INVENTORY1","ACTIVITY","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY1|ACTIVITY|PIPELINE2::WAIT1","Wait1","PRECEDES","ACTIVITY","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY1|ACTIVITY|PIPELINE2::FAIL1","Fail1","Conditions=Succeeded"
"84535DB5-5178-4BB1-A8A8-60BED382263A","RG-ADF-INVENTORY","ADF-INVENTORY1","ACTIVITY","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY1|ACTIVITY|PIPELINE2::FAIL1","Fail1","DEPENDS_ON","ACTIVITY","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY1|ACTIVITY|PIPELINE2::WAIT1","Wait1","Conditions=Succeeded"
"84535DB5-5178-4BB1-A8A8-60BED382263A","RG-ADF-INVENTORY","ADF-INVENTORY2","PIPELINE","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY2|PIPELINE|PIPELINE1","pipeline1","CONTAINS","ACTIVITY","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY2|ACTIVITY|PIPELINE1::WAIT2-1","Wait2-1","ActivityType=Wait"
"84535DB5-5178-4BB1-A8A8-60BED382263A","RG-ADF-INVENTORY","ADF-INVENTORY2","PIPELINE","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY2|PIPELINE|PIPELINE2","pipeline2","CONTAINS","ACTIVITY","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY2|ACTIVITY|PIPELINE2::SET VARIABLE1","Set variable1","ActivityType=SetVariable"
"84535DB5-5178-4BB1-A8A8-60BED382263A","RG-ADF-INVENTORY","ADF-INVENTORY2","PIPELINE","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY2|PIPELINE|PIPELINE2","pipeline2","CONTAINS","ACTIVITY","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY2|ACTIVITY|PIPELINE2::WAIT1","Wait1","ActivityType=Wait"
"84535DB5-5178-4BB1-A8A8-60BED382263A","RG-ADF-INVENTORY","ADF-INVENTORY2","ACTIVITY","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY2|ACTIVITY|PIPELINE2::SET VARIABLE1","Set variable1","PRECEDES","ACTIVITY","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY2|ACTIVITY|PIPELINE2::WAIT1","Wait1","Conditions=Succeeded"
"84535DB5-5178-4BB1-A8A8-60BED382263A","RG-ADF-INVENTORY","ADF-INVENTORY2","ACTIVITY","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY2|ACTIVITY|PIPELINE2::WAIT1","Wait1","DEPENDS_ON","ACTIVITY","84535DB5-5178-4BB1-A8A8-60BED382263A|RG-ADF-INVENTORY|ADF-INVENTORY2|ACTIVITY|PIPELINE2::SET VARIABLE1","Set variable1","Conditions=Succeeded"
