"SubscriptionId","ResourceGroupName","DataFactoryName","SourceType","SourceNodeId","SourceName","RelationshipType","TargetType","TargetNodeId","TargetName","Notes"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory1","LinkedService","AzureDataLakeStorage1","AzureDataLakeStorage1","RUNS_ON","IntegrationRuntime","AutoResolveIntegrationRuntime","AutoResolveIntegrationRuntime",""
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory1","Pipeline","pipeline1","pipeline1","CONTAINS","Activity","pipeline1::Wait1","Wait1","ActivityType=Wait"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory1","Pipeline","pipeline2","pipeline2","CONTAINS","Activity","pipeline2::Wait1","Wait1","ActivityType=Wait"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory1","Pipeline","pipeline2","pipeline2","CONTAINS","Activity","pipeline2::Fail1","Fail1","ActivityType=Fail"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory1","Activity","pipeline2::Wait1","Wait1","PRECEDES","Activity","pipeline2::Fail1","Fail1","Conditions=Succeeded"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory1","Activity","pipeline2::Fail1","Fail1","DEPENDS_ON","Activity","pipeline2::Wait1","Wait1","Conditions=Succeeded"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Pipeline","pipeline1","pipeline1","CONTAINS","Activity","pipeline1::Wait2-1","Wait2-1","ActivityType=Wait"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Pipeline","pipeline2","pipeline2","CONTAINS","Activity","pipeline2::Set variable1","Set variable1","ActivityType=SetVariable"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Pipeline","pipeline2","pipeline2","CONTAINS","Activity","pipeline2::Wait1","Wait1","ActivityType=Wait"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","pipeline2::Set variable1","Set variable1","PRECEDES","Activity","pipeline2::Wait1","Wait1","Conditions=Succeeded"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","pipeline2::Wait1","Wait1","DEPENDS_ON","Activity","pipeline2::Set variable1","Set variable1","Conditions=Succeeded"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Pipeline","pipeline2","pipeline2","CONTAINS","Activity","pipeline2::Wait2","Wait2","ActivityType=Wait"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","pipeline2::Wait1","Wait1","PRECEDES","Activity","pipeline2::Wait2","Wait2","Conditions=Succeeded"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","pipeline2::Wait2","Wait2","DEPENDS_ON","Activity","pipeline2::Wait1","Wait1","Conditions=Succeeded"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Pipeline","pipeline2","pipeline2","CONTAINS","Activity","pipeline2::Wait3","Wait3","ActivityType=Wait"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","pipeline2::Set variable1","Set variable1","PRECEDES","Activity","pipeline2::Wait3","Wait3","Conditions=Succeeded"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","pipeline2::Wait3","Wait3","DEPENDS_ON","Activity","pipeline2::Set variable1","Set variable1","Conditions=Succeeded"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Pipeline","pipeline2","pipeline2","CONTAINS","Activity","pipeline2::Wait4","Wait4","ActivityType=Wait"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","pipeline2::Wait3","Wait3","PRECEDES","Activity","pipeline2::Wait4","Wait4","Conditions=Succeeded"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","pipeline2::Wait4","Wait4","DEPENDS_ON","Activity","pipeline2::Wait3","Wait3","Conditions=Succeeded"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Pipeline","pipeline3","pipeline3","CONTAINS","Activity","pipeline3::Wait1","Wait1","ActivityType=Wait"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Pipeline","pipeline3","pipeline3","CONTAINS","Activity","pipeline3::Wait2","Wait2","ActivityType=Wait"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","pipeline3::Wait1","Wait1","PRECEDES","Activity","pipeline3::Wait2","Wait2","Conditions=Succeeded"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","pipeline3::Wait2","Wait2","DEPENDS_ON","Activity","pipeline3::Wait1","Wait1","Conditions=Succeeded"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Pipeline","pipeline3","pipeline3","CONTAINS","Activity","pipeline3::Wait3","Wait3","ActivityType=Wait"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","pipeline3::Wait2","Wait2","PRECEDES","Activity","pipeline3::Wait3","Wait3","Conditions=Failed"
"84535db5-5178-4bb1-a8a8-60bed382263a","rg-adf-inventory","adf-inventory2","Activity","pipeline3::Wait3","Wait3","DEPENDS_ON","Activity","pipeline3::Wait2","Wait2","Conditions=Failed"
